	Classifier	Threshold	FAR	FRR
60	"[[ 0]
 [ 2]
 [ 7]
 [11]]"	18614.61	9.9610468009022e-05	0.13984453016388948
61	"[[0]
 [2]
 [7]]"	14446.929999999998	9.9610468009022e-05	0.17042940220477373
62	"[[0]
 [2]
 [8]
 [9]]"	18425.730000000003	9.9610468009022e-05	0.14329071292905954
63	"[[ 0]
 [ 2]
 [ 8]
 [10]]"	17658.16	9.9610468009022e-05	0.11771847036478628
64	"[[ 0]
 [ 2]
 [ 8]
 [11]]"	17863.79	9.9610468009022e-05	0.1191086918211901
65	"[[0]
 [2]
 [8]]"	13857.970000000001	9.9610468009022e-05	0.15171036400305457
66	"[[ 0]
 [ 2]
 [ 9]
 [10]]"	17891.82	9.9610468009022e-05	0.12255487458636016
67	"[[ 0]
 [ 2]
 [ 9]
 [11]]"	18116.84	9.9610468009022e-05	0.12521783399580977
68	"[[0]
 [2]
 [9]]"	14099.039999999999	9.9610468009022e-05	0.16206849288245775
69	"[[ 0]
 [ 2]
 [10]
 [11]]"	18287.14	9.9610468009022e-05	0.15868105186896672
70	"[[ 0]
 [ 2]
 [10]]"	13684.81	9.9610468009022e-05	0.15570480311722895
71	"[[ 0]
 [ 2]
 [11]]"	13881.51	9.9610468009022e-05	0.15885727712400383
72	"[[ 0]
 [ 2]
 [12]]"	14573.41	9.9610468009022e-05	0.16246010456031798
73	"[[ 0]
 [ 2]
 [13]]"	14601.9	9.9610468009022e-05	0.17254410526521902
74	"[[0]
 [2]]"	9758.86	9.9610468009022e-05	0.2151122946486264
75	"[[0]
 [3]
 [4]]"	14583.170000000002	9.9610468009022e-05	0.2050087133598324
76	"[[0]
 [3]
 [5]]"	14656.29	9.9610468009022e-05	0.20588983963501792
77	"[[0]
 [3]
 [6]
 [7]]"	19330.66	9.9610468009022e-05	0.1525914902782401
78	"[[0]
 [3]
 [6]
 [8]]"	18499.18	9.9610468009022e-05	0.12699966713007382
79	"[[0]
 [3]
 [6]
 [9]]"	18761.25	9.9610468009022e-05	0.13269761704294022
80	"[[ 0]
 [ 3]
 [ 6]
 [10]]"	18383.2	9.9610468009022e-05	0.13007381880127666
81	"[[ 0]
 [ 3]
 [ 6]
 [11]]"	18633.7	9.9610468009022e-05	0.13428364433827417
82	"[[0]
 [3]
 [6]]"	14450.28	9.9610468009022e-05	0.16016917624483562
83	"[[0]
 [3]
 [7]
 [8]]"	18642.49	9.9610468009022e-05	0.13120949266707133
84	"[[0]
 [3]
 [7]
 [9]]"	18858.730000000003	9.9610468009022e-05	0.13528225411681777
85	"[[ 0]
 [ 3]
 [ 7]
 [10]]"	18488.11	9.9610468009022e-05	0.13348084039866068
86	"[[ 0]
 [ 3]
 [ 7]
 [11]]"	18693.670000000002	9.9610468009022e-05	0.13496896477452958
87	"[[0]
 [3]
 [7]]"	14527.88	9.9610468009022e-05	0.16710070294296175
88	"[[0]
 [3]
 [8]
 [9]]"	18506.08	9.9610468009022e-05	0.13921795147931312
89	"[[ 0]
 [ 3]
 [ 8]
 [10]]"	17752.52	9.9610468009022e-05	0.11313661373382154
90	"[[ 0]
 [ 3]
 [ 8]
 [11]]"	17976.34	9.9610468009022e-05	0.11519257504258777
91	"[[0]
 [3]
 [8]]"	13922.779999999999	9.9610468009022e-05	0.14614947817743926
92	"[[ 0]
 [ 3]
 [ 9]
 [10]]"	17992.24	9.9610468009022e-05	0.11846253255272073
93	"[[ 0]
 [ 3]
 [ 9]
 [11]]"	18236.21	9.9610468009022e-05	0.12181081239842573
94	"[[0]
 [3]
 [9]]"	14143.629999999997	9.9610468009022e-05	0.1545887098353273
95	"[[ 0]
 [ 3]
 [10]
 [11]]"	18429.050000000003	9.9610468009022e-05	0.16161813945291847
96	"[[ 0]
 [ 3]
 [10]]"	13790.73	9.9610468009022e-05	0.15406003407021598
97	"[[ 0]
 [ 3]
 [11]]"	13984.92	9.9610468009022e-05	0.15646844588905642
98	"[[ 0]
 [ 3]
 [12]]"	14670.52	9.9610468009022e-05	0.16007127332537055
99	"[[ 0]
 [ 3]
 [13]]"	14670.490000000002	9.9610468009022e-05	0.16706154177517574
100	"[[0]
 [3]]"	9837.279999999999	9.9610468009022e-05	0.21873470266883357
101	"[[0]
 [4]
 [5]]"	14701.279999999999	9.9610468009022e-05	0.21767735113861095
102	"[[0]
 [4]
 [6]
 [8]]"	18425.91	9.9610468009022e-05	0.12719547296900394
103	"[[0]
 [4]
 [6]
 [9]]"	18665.31	9.9610468009022e-05	0.13185565193554072
104	"[[ 0]
 [ 4]
 [ 6]
 [10]]"	18353.04	9.9610468009022e-05	0.13185565193554072
105	"[[ 0]
 [ 4]
 [ 6]
 [11]]"	18538.16	9.9610468009022e-05	0.1321689412778289
106	"[[0]
 [4]
 [6]]"	14387.45	9.9610468009022e-05	0.1602866597481937
107	"[[0]
 [4]
 [7]
 [8]]"	18549.17	9.9610468009022e-05	0.13044584989524388
108	"[[0]
 [4]
 [7]
 [9]]"	18799.92	9.9610468009022e-05	0.1366724755732216
109	"[[ 0]
 [ 4]
 [ 7]
 [10]]"	18464.53	9.9610468009022e-05	0.13645708915039848
110	"[[ 0]
 [ 4]
 [ 7]
 [11]]"	18678.7	9.9610468009022e-05	0.13845430870748565
111	"[[0]
 [4]
 [7]]"	14484.490000000002	9.9610468009022e-05	0.16905876133226294
112	"[[0]
 [4]
 [8]
 [9]]"	18371.85	9.9610468009022e-05	0.1359871551369662
113	"[[ 0]
 [ 4]
 [ 8]
 [10]]"	17606.94	9.9610468009022e-05	0.1100428814787257
